meet,meet-href,compiled,compiled-href,Overall,Name,Year,Team,Time,Overall,Name,Year,Team,Distance
"SCIAC Multi-Dual #1","https://www.directathletics.com/results/track/48614.html","Compiled","https://www.directathletics.com/results/track/48614_m.html","3","Bell, Andrew","FR-1","La Verne","","3","Bell, Andrew","FR-1","La Verne","41.94m"
"FAMU Relays","https://www.directathletics.com/results/track/48194.html","Compiled","https://www.directathletics.com/results/track/48194_m.html","1","Jordan, Jared","SR-4","Albany State","10.83","1","Jordan, Jared","SR-4","Albany State",""
"2nd Annual Victor Ice Breaker Duals","https://www.directathletics.com/results/track/47352.html","Compiled","https://www.directathletics.com/results/track/47352_f.html","6","Williams, Remel","JR-3","Shorter","12.60","6","Williams, Remel","JR-3","Shorter",""
"2017 American River Beaver Relays and Invitational","https://www.directathletics.com/results/track/48292.html","Compiled","https://www.directathletics.com/results/track/48292_m.html","","Martin, Danick","FR","Butte","","","Martin, Danick","FR","Butte","null"
"SCIAC Multi-Dual #1","https://www.directathletics.com/results/track/48614.html","Compiled","https://www.directathletics.com/results/track/48614_m.html","2","Gura, Chris","SR-4","La Verne","","2","Gura, Chris","SR-4","La Verne","48.21m"
"D & H Sports Relays","https://www.directathletics.com/results/track/47619.html","Compiled","https://www.directathletics.com/results/track/47619_m.html","17","Carter, James","FR","Bastrop","","17","Carter, James","FR","Bastrop","88'  5"""
"HF Indoor Meet 3/7","https://www.directathletics.com/results/track/49131.html","Compiled","https://www.directathletics.com/results/track/49131_m.html","13","Williams , Jemille","SO","Eisenhower (Blue Island)","7.59","13","Williams , Jemille","SO","Eisenhower (Blue Island)",""
"Boyd Jr High Meet","https://www.directathletics.com/results/track/48977.html","Compiled","https://www.directathletics.com/results/track/48977_m.html","12","Wiley, Luke","7","Peaster JH Boys","15.31","12","Wiley, Luke","7","Peaster JH Boys",""
"FAMU Relays","https://www.directathletics.com/results/track/48194.html","Compiled","https://www.directathletics.com/results/track/48194_f.html","3","Johnson, Benisha","SR-4","Florida A&M","","3","Johnson, Benisha","SR-4","Florida A&M","11.65m"
"2017 Butch Reynolds Invite","https://www.directathletics.com/results/track/49529.html","Compiled","https://www.directathletics.com/results/track/49529_m.html","2","Orozco, Emiliano","SO-2","Hutchinson CC","","2","Orozco, Emiliano","SO-2","Hutchinson CC","47.03m"
"Orange Empire Conference Multi-Event Championships","https://www.directathletics.com/results/track/48184.html","Compiled","https://www.directathletics.com/results/track/48184_f.html","1","Sanabria, Valentina","FR","Riverside","null","1","Sanabria, Valentina","FR","Riverside",""
"2017 Barbers Hill JV Track Meet","https://www.directathletics.com/results/track/48539.html","Compiled","https://www.directathletics.com/results/track/48539_m.html","3","Jones, Sam","JR","New Caney","11.81","3","Jones, Sam","JR","New Caney",""
"SCIAC Track and Field Multi-Dual # 1","https://www.directathletics.com/results/track/48223.html","Compiled","https://www.directathletics.com/results/track/48223_m.html","4","Saena, Tyson","FR-1","Claremont-Mudd-Scripps","","4","Saena, Tyson","FR-1","Claremont-Mudd-Scripps","37.54m"
"BHS Lady Raider Indoor","https://www.directathletics.com/results/track/49323.html","Compiled","https://www.directathletics.com/results/track/49323_f.html","2","Welch, Kylie","12","Bloomington","7.82","2","Welch, Kylie","12","Bloomington",""
"Lane Heptathlon","https://www.directathletics.com/results/track/49364.html","Compiled","https://www.directathletics.com/results/track/49364_f.html","","","","","","","","","",""
"FAMU Relays","https://www.directathletics.com/results/track/48194.html","Compiled","https://www.directathletics.com/results/track/48194_m.html","2","Francois, Andy","FR-1","Edward Waters","","2","Francois, Andy","FR-1","Edward Waters","12.33m"
"2017 American River Beaver Relays and Invitational","https://www.directathletics.com/results/track/48292.html","Compiled","https://www.directathletics.com/results/track/48292_m.html","","Villareal, Clemente","FR","Hartnell","","","Villareal, Clemente","FR","Hartnell","null"
"Dade Christian Crusder Classic Middle School Invitational","https://www.directathletics.com/results/track/47330.html","Compiled","https://www.directathletics.com/results/track/47330_f.html","","","","","","","","","",""
"HF Indoor Meet 3/7","https://www.directathletics.com/results/track/49131.html","Compiled","https://www.directathletics.com/results/track/49131_m.html","24","Campbell, Michael","","Eisenhower (Blue Island)","","24","Campbell, Michael","","Eisenhower (Blue Island)","28'  8"""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_f.html","","Pierre, Moesha","12","North Miami HS","","","Pierre, Moesha","12","North Miami HS","FOUL"
"SCIAC Track and Field Multi-Dual # 1","https://www.directathletics.com/results/track/48223.html","Compiled","https://www.directathletics.com/results/track/48223_m.html","","","","","","","","","",""
"All-UC Challenge","https://www.directathletics.com/results/track/48350.html","Compiled","https://www.directathletics.com/results/track/48350_m.html","1","Leach, Stephen","SR-4","UC Santa Barbara","","1","Leach, Stephen","SR-4","UC Santa Barbara","54.96m"
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_f.html","","Lamadriz, Alyssa","11","Coral Gables HS","","","Lamadriz, Alyssa","11","Coral Gables HS","FOUL"
"Dade Christian Crusder Classic Middle School Invitational","https://www.directathletics.com/results/track/47330.html","Compiled","https://www.directathletics.com/results/track/47330_m.html","13","Myland, CJ","8","Dade Christian","14.05","13","Myland, CJ","8","Dade Christian",""
"Savannah State Tiger Relays","https://www.directathletics.com/results/track/47013.html","Compiled","https://www.directathletics.com/results/track/47013_f.html","9","Rivers, Alexandria","SO-2","USC-Beaufort","","9","Rivers, Alexandria","SO-2","USC-Beaufort","33.56m"
"Beach vs UCLA","https://www.directathletics.com/results/track/49303.html","Compiled","https://www.directathletics.com/results/track/49303_m.html","2","Harris, Kent","","Long Beach St.","10.81","2","Harris, Kent","","Long Beach St.",""
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_f.html","7","Walters, Jenna","SO","Hope Christian","","7","Walters, Jenna","SO","Hope Christian","78'  0"""
"Artesia Junior High Meet","https://www.directathletics.com/results/track/49140.html","Compiled","https://www.directathletics.com/results/track/49140_m.html","8","Mackey, Darius","8","Heizer Middle School","12.88","8","Mackey, Darius","8","Heizer Middle School",""
"De La Salle Gold Invite","https://www.directathletics.com/results/track/49135.html","Compiled","https://www.directathletics.com/results/track/49135_m.html","6","Franklin, Querrone","FR","Noble/Corner","7.68","6","Franklin, Querrone","FR","Noble/Corner",""
"Boyd Jr High Meet","https://www.directathletics.com/results/track/48977.html","Compiled","https://www.directathletics.com/results/track/48977_f.html","","","","","","","","","",""
"Savannah State Tiger Relays","https://www.directathletics.com/results/track/47013.html","Compiled","https://www.directathletics.com/results/track/47013_m.html","1","parker, rondrick","","Unattached","10.76","1","parker, rondrick","","Unattached",""
"2nd Annual Victor Ice Breaker Duals","https://www.directathletics.com/results/track/47352.html","Compiled","https://www.directathletics.com/results/track/47352_f.html","3","mccaskill, Dawn","SO-2","West Georgia","12.50","3","mccaskill, Dawn","SO-2","West Georgia",""
"UAH Charger Invitational","https://www.directathletics.com/results/track/48978.html","Compiled","https://www.directathletics.com/results/track/48978_m.html","8","Hall, Jordan","FR-1","Morehouse","11.90","8","Hall, Jordan","FR-1","Morehouse",""
"D & H Sports Relays","https://www.directathletics.com/results/track/47619.html","Compiled","https://www.directathletics.com/results/track/47619_m.html","7","Hargraves, Chris","SR","Camden Fairview","11.55","7","Hargraves, Chris","SR","Camden Fairview",""
"SCIAC Track and Field Multi-Dual # 1","https://www.directathletics.com/results/track/48223.html","Compiled","https://www.directathletics.com/results/track/48223_f.html","11","Watanabe, Kelly","FR-1","Claremont-Mudd-Scripps","13.70","11","Watanabe, Kelly","FR-1","Claremont-Mudd-Scripps",""
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_m.html","20","Brewer, Christopher","SO","Academy Tech/Classics","","20","Brewer, Christopher","SO","Academy Tech/Classics","80'  3"""
"Hononegah Girls Classic","https://www.directathletics.com/results/track/48957.html","Compiled","https://www.directathletics.com/results/track/48957_f.html","57","Serritella, Sydney","JR","Central (Burlington)","9.28","57","Serritella, Sydney","JR","Central (Burlington)",""
"Blue and White Relays","https://www.directathletics.com/results/track/48722.html","Compiled","https://www.directathletics.com/results/track/48722_f.html","6","Burgess, Olivia","FR","Hamilton Southeastern","8.37","6","Burgess, Olivia","FR","Hamilton Southeastern",""
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_f.html","9","Woods, Courtnie","JR","Hot Springs","","9","Woods, Courtnie","JR","Hot Springs","76'  8"""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_m.html","","MacDonald, Nico","11","St. Thomas Aquinas HS","","","MacDonald, Nico","11","St. Thomas Aquinas HS","ND"
"2017 American River Beaver Relays and Invitational","https://www.directathletics.com/results/track/48292.html","Compiled","https://www.directathletics.com/results/track/48292_f.html","3","Dickerson, Kayla","SO","Laney","12.04","3","Dickerson, Kayla","SO","Laney",""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_f.html","","Williamson, Quinteria","10","Homestead Senior HS","","","Williamson, Quinteria","10","Homestead Senior HS","FOUL"
"Artesia Junior High Meet","https://www.directathletics.com/results/track/49140.html","Compiled","https://www.directathletics.com/results/track/49140_f.html","34","Lawrence, Bella","7","Ruidoso Middle School","19.20","34","Lawrence, Bella","7","Ruidoso Middle School",""
"All-UC Challenge","https://www.directathletics.com/results/track/48350.html","Compiled","https://www.directathletics.com/results/track/48350_f.html","7","Cooksey, Iyana","FR-1","UC Irvine","13.39","7","Cooksey, Iyana","FR-1","UC Irvine",""
"Artesia Junior High Meet","https://www.directathletics.com/results/track/49140.html","Compiled","https://www.directathletics.com/results/track/49140_m.html","22","Rodriquez, Jesse","7","Carlsbad Intermediate White","14.04","22","Rodriquez, Jesse","7","Carlsbad Intermediate White",""
"Blue and White Relays","https://www.directathletics.com/results/track/48722.html","Compiled","https://www.directathletics.com/results/track/48722_m.html","10","Graf, Jacob","SO","Silver Creek","7.52","10","Graf, Jacob","SO","Silver Creek",""
"Beach vs UCLA","https://www.directathletics.com/results/track/49303.html","Compiled","https://www.directathletics.com/results/track/49303_f.html","","","","","","","","","",""
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_f.html","14","Henry, Cass","SR","Hope Christian","","14","Henry, Cass","SR","Hope Christian","68'  9"""
"SCIAC Multi-Dual #1","https://www.directathletics.com/results/track/48614.html","Compiled","https://www.directathletics.com/results/track/48614_f.html","7","Waters, Paige","SO-2","Occidental","","7","Waters, Paige","SO-2","Occidental","28.78m"
"2017 Butch Reynolds Invite","https://www.directathletics.com/results/track/49529.html","Compiled","https://www.directathletics.com/results/track/49529_m.html","1","French, Nick","FR-1","Hutchinson CC","","1","French, Nick","FR-1","Hutchinson CC","47.99m"
"Orange Empire Conference Multi-Event Championships","https://www.directathletics.com/results/track/48184.html","Compiled","https://www.directathletics.com/results/track/48184_f.html","6","Castellanos, Yessica","SO","Orange Coast","null","6","Castellanos, Yessica","SO","Orange Coast",""
"Cal Opener 2017","https://www.directathletics.com/results/track/47376.html","Compiled","https://www.directathletics.com/results/track/47376_f.html","4","Porter, Alyssa","JR-3","Nevada","12.28","4","Porter, Alyssa","JR-3","Nevada",""
"D & H Sports Relays","https://www.directathletics.com/results/track/47619.html","Compiled","https://www.directathletics.com/results/track/47619_m.html","6","Bass, Clyefer","SR","Ouachita Parish","","6","Bass, Clyefer","SR","Ouachita Parish","116'  7"""
"Little Giant Charger HSR Qualifier 2017","https://www.directathletics.com/results/track/48450.html","Compiled","https://www.directathletics.com/results/track/48450_m.html","18","Martin, Andrew","SO","Attica","8.25","18","Martin, Andrew","SO","Attica",""
"Battle of the Beaches","https://www.directathletics.com/results/track/48170.html","Compiled","https://www.directathletics.com/results/track/48170_f.html","","","","","","","","","",""
"Sycamore Boys Invite 2017","https://www.directathletics.com/results/track/49269.html","Compiled","https://www.directathletics.com/results/track/49269_m.html","3",",","","Central (Burlington)","","3",",","","Central (Burlington)","null"
"Riverside City 4-Way","https://www.directathletics.com/results/track/49384.html","Compiled","https://www.directathletics.com/results/track/49384_f.html","","","","","","","","","",""
"2017 Apollo Boys & Girls Conference Indoor Meet","https://www.directathletics.com/results/track/48575.html","Compiled","https://www.directathletics.com/results/track/48575_f.html","5","Montgomery, Claire","FR","Taylorville","9.06","5","Montgomery, Claire","FR","Taylorville",""
"SIU High School Indoor Track and Field Invitational (Boys)","https://www.directathletics.com/results/track/48355.html","Compiled","https://www.directathletics.com/results/track/48355_m.html","7","Stewart, Tias","SR","Evansville Central","7.34","7","Stewart, Tias","SR","Evansville Central",""
"Mississippi College Season Opener","https://www.directathletics.com/results/track/47362.html","Compiled","https://www.directathletics.com/results/track/47362_m.html","11","Tadda, Michael","SO-2","Millsaps","","11","Tadda, Michael","SO-2","Millsaps","24.02m"
"Artesia Junior High Meet","https://www.directathletics.com/results/track/49140.html","Compiled","https://www.directathletics.com/results/track/49140_f.html","33","Valverde, Bianca","8","Carlsbad Intermediate White","19.01","33","Valverde, Bianca","8","Carlsbad Intermediate White",""
"SCIAC Track and Field Multi-Dual # 1","https://www.directathletics.com/results/track/48223.html","Compiled","https://www.directathletics.com/results/track/48223_m.html","10","Lim, Tse Yang","FR-1","Claremont-Mudd-Scripps","11.75","10","Lim, Tse Yang","FR-1","Claremont-Mudd-Scripps",""
"D & H Sports Relays","https://www.directathletics.com/results/track/47619.html","Compiled","https://www.directathletics.com/results/track/47619_f.html","17","Jackson, Fredricka","SO","Ferriday","15.11","17","Jackson, Fredricka","SO","Ferriday",""
"SCIAC Multi-Dual #1","https://www.directathletics.com/results/track/48614.html","Compiled","https://www.directathletics.com/results/track/48614_m.html","7","Powers, Hunter","FR-1","La Verne","11.50","7","Powers, Hunter","FR-1","La Verne",""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_m.html","7","Reese, Jason","11","G. Holmes Braddock HS","10.93","7","Reese, Jason","11","G. Holmes Braddock HS",""
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_f.html","20","Northup, Madison","FR","Academy Tech/Classics","","20","Northup, Madison","FR","Academy Tech/Classics","62'  2"""
"OWL HSR 2017","https://www.directathletics.com/results/track/48043.html","Compiled","https://www.directathletics.com/results/track/48043_m.html","49","Wilson, Terrence","SO","Blackford","8.85","49","Wilson, Terrence","SO","Blackford",""
"2017 Butch Reynolds Invite","https://www.directathletics.com/results/track/49529.html","Compiled","https://www.directathletics.com/results/track/49529_f.html","6","Horner, Julianna","FR-1","Butler CC","","6","Horner, Julianna","FR-1","Butler CC","40.05m"
"D & H Sports Relays","https://www.directathletics.com/results/track/47619.html","Compiled","https://www.directathletics.com/results/track/47619_m.html","4","Casio, Ben","JR","Neville","","4","Casio, Ben","JR","Neville","122'  0"""
"Duck Roost Relays","https://www.directathletics.com/results/track/48199.html","Compiled","https://www.directathletics.com/results/track/48199_m.html","","Morris, Jackson","FR","University Lab","","","Morris, Jackson","FR","University Lab","null"
"Tufts Final Qualifier","https://www.directathletics.com/results/track/47625.html","Compiled","https://www.directathletics.com/results/track/47625_m.html","6","Cepeda, Alec","JR-3","Oswego State","7.18","6","Cepeda, Alec","JR-3","Oswego State",""
"2017 PW Lady Panthers Invite","https://www.directathletics.com/results/track/48455.html","Compiled","https://www.directathletics.com/results/track/48455_f.html","7",",","","Lane Tech","","7",",","","Lane Tech","null"
"D & H Sports Relays","https://www.directathletics.com/results/track/47619.html","Compiled","https://www.directathletics.com/results/track/47619_f.html","","","","","","","","","",""
"SCIAC Multi-Dual #1","https://www.directathletics.com/results/track/48614.html","Compiled","https://www.directathletics.com/results/track/48614_f.html","8","White, Maiya","FR-1","La Verne","","8","White, Maiya","FR-1","La Verne","26.79m"
"2017 Barbers Hill JV Track Meet","https://www.directathletics.com/results/track/48539.html","Compiled","https://www.directathletics.com/results/track/48539_m.html","1","Martinez, Miguel","JR","Mont Belvieu Barbers Hill","11.64","1","Martinez, Miguel","JR","Mont Belvieu Barbers Hill",""
"DePauw HSR Qualifier I","https://www.directathletics.com/results/track/47681.html","Compiled","https://www.directathletics.com/results/track/47681_f.html","11","Crawford, Anaiya","JR","Male","8.39","11","Crawford, Anaiya","JR","Male",""
"Duck Roost Relays","https://www.directathletics.com/results/track/48199.html","Compiled","https://www.directathletics.com/results/track/48199_f.html","","Smith, De'Andrea","JR","Glen Oaks","DNF","","Smith, De'Andrea","JR","Glen Oaks",""
"SCIAC Multi-Dual #1","https://www.directathletics.com/results/track/48614.html","Compiled","https://www.directathletics.com/results/track/48614_m.html","10","Pedroza, Matthew","FR-1","La Verne","","10","Pedroza, Matthew","FR-1","La Verne","24.25m"
"Chili Quad","https://www.directathletics.com/results/track/47998.html","Compiled","https://www.directathletics.com/results/track/47998_f.html","6","Bauer, Gabriella","SR","ABQ Academy","","6","Bauer, Gabriella","SR","ABQ Academy","69'  9"""
"IWU HSR Qualifier #2","https://www.directathletics.com/results/track/47225.html","Compiled","https://www.directathletics.com/results/track/47225_m.html","11","Kilburn, Rane","SR","Warsaw Community","7.44","11","Kilburn, Rane","SR","Warsaw Community",""
"2017 Lloyd Sigler Spring Meet","https://www.directathletics.com/results/track/48568.html","Compiled","https://www.directathletics.com/results/track/48568_m.html","8","Faust, Mondreakest","FR-1","Gallaudet","14.23","8","Faust, Mondreakest","FR-1","Gallaudet",""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_m.html","8","Witter, Brian","12","Miramar HS","","8","Witter, Brian","12","Miramar HS","35.25m"
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_m.html","","Felisma, Peterson","11","Northeast HS (Oakland Par","","","Felisma, Peterson","11","Northeast HS (Oakland Par","DNS"
"Jacksonville HS Indoor Class A","https://www.directathletics.com/results/track/48792.html","Compiled","https://www.directathletics.com/results/track/48792_f.html","7","Oladipupo, Sade'","FR","St. Teresa","8.71","7","Oladipupo, Sade'","FR","St. Teresa",""
"HF Indoor Meet 3/7","https://www.directathletics.com/results/track/49131.html","Compiled","https://www.directathletics.com/results/track/49131_m.html","16","Galan, Jonathan","","Eisenhower (Blue Island)","","16","Galan, Jonathan","","Eisenhower (Blue Island)","31'  4"""
"Riverside City 4-Way","https://www.directathletics.com/results/track/49384.html","Compiled","https://www.directathletics.com/results/track/49384_m.html","1","Musgraves, Tyler","SR-4","UC Riverside","","1","Musgraves, Tyler","SR-4","UC Riverside","53.66m"
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_f.html","8","Williams, Vantae","12","Dr. Michael Krop HS","","8","Williams, Vantae","12","Dr. Michael Krop HS","32.28m"
"HF Indoor Meet 3/7","https://www.directathletics.com/results/track/49131.html","Compiled","https://www.directathletics.com/results/track/49131_m.html","3","Catledge, Brandon","SR","Tinley Park","","3","Catledge, Brandon","SR","Tinley Park","40'  0"""
"University High School Invitational","https://www.directathletics.com/results/track/48982.html","Compiled","https://www.directathletics.com/results/track/48982_m.html","1","Davis, Myles","SR","Payton Prep","7.01","1","Davis, Myles","SR","Payton Prep",""
"York Girls Invitational #3","https://www.directathletics.com/results/track/48988.html","Compiled","https://www.directathletics.com/results/track/48988_f.html","6",",","","Downers Grove North","","6",",","","Downers Grove North","null"
"Boyd Jr High Meet","https://www.directathletics.com/results/track/48977.html","Compiled","https://www.directathletics.com/results/track/48977_f.html","5",",","","Boyd Middle School","","5",",","","Boyd Middle School","null"
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_m.html","15","Barnes, Bryan","SR","Moriarty","","15","Barnes, Bryan","SR","Moriarty","88'  4.5"""
"IWU HSR Qualifier #2","https://www.directathletics.com/results/track/47225.html","Compiled","https://www.directathletics.com/results/track/47225_f.html","","","","","","","","","",""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_f.html","","Romeu, Isabel","12","Our Lady of Lourdes Acade","","","Romeu, Isabel","12","Our Lady of Lourdes Acade","DNS"
"Lane Heptathlon","https://www.directathletics.com/results/track/49364.html","Compiled","https://www.directathletics.com/results/track/49364_f.html","5","Wilson, Matteline","FR","Lane CC","null","5","Wilson, Matteline","FR","Lane CC",""
"BHS Lady Raider Indoor","https://www.directathletics.com/results/track/49323.html","Compiled","https://www.directathletics.com/results/track/49323_f.html","3","Watts, Hope","9","Pekin","8.02","3","Watts, Hope","9","Pekin",""
"ERAU vs WV Wesleyan","https://www.directathletics.com/results/track/49041.html","Compiled","https://www.directathletics.com/results/track/49041_m.html","","Cashdollar, Daniel","JR-3","Embry-Riddle","","","Cashdollar, Daniel","JR-3","Embry-Riddle","ND"
"D & H Sports Relays","https://www.directathletics.com/results/track/47619.html","Compiled","https://www.directathletics.com/results/track/47619_f.html","5","Corley, Claire","SO","Delhi Charter","","5","Corley, Claire","SO","Delhi Charter","68'  3"""
"SCIAC Multi-Dual #1","https://www.directathletics.com/results/track/48614.html","Compiled","https://www.directathletics.com/results/track/48614_m.html","5","Silverman, Adam","FR-1","Cal Lutheran","","5","Silverman, Adam","FR-1","Cal Lutheran","37.87m"
"Gold Medal Invite 2017","https://www.directathletics.com/results/track/48984.html","Compiled","https://www.directathletics.com/results/track/48984_f.html","3","Sigwards, Alyssa","JR","Dixon","8.30","3","Sigwards, Alyssa","JR","Dixon",""
"2017 Mt. Zion Boys Indoor Invitational","https://www.directathletics.com/results/track/48582.html","Compiled","https://www.directathletics.com/results/track/48582_m.html","6","Royce, Wyatt","SR","Sangamon Valley","7.60","6","Royce, Wyatt","SR","Sangamon Valley",""
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_m.html","32","Padilla, Carlos","SO","Hot Springs","","32","Padilla, Carlos","SO","Hot Springs","69'  1.5"""
"All-UC Challenge","https://www.directathletics.com/results/track/48350.html","Compiled","https://www.directathletics.com/results/track/48350_f.html","1","Schulhofer, Avery","FR-1","UC San Diego","12.18","1","Schulhofer, Avery","FR-1","UC San Diego",""
"SCIAC Track and Field Multi-Dual # 1","https://www.directathletics.com/results/track/48223.html","Compiled","https://www.directathletics.com/results/track/48223_m.html","1","Hayashi, Matthew","SO-2","Redlands","","1","Hayashi, Matthew","SO-2","Redlands","43.37m"
"2nd Annual Victor Ice Breaker Duals","https://www.directathletics.com/results/track/47352.html","Compiled","https://www.directathletics.com/results/track/47352_m.html","","Freeman , Corey","SO-2","Shorter","","","Freeman , Corey","SO-2","Shorter","FOUL"
"2017 American River Beaver Relays and Invitational","https://www.directathletics.com/results/track/48292.html","Compiled","https://www.directathletics.com/results/track/48292_m.html","6","Noble, Nathan","SO","Diablo Valley","10.87","6","Noble, Nathan","SO","Diablo Valley",""
"University High School Invitational","https://www.directathletics.com/results/track/48982.html","Compiled","https://www.directathletics.com/results/track/48982_m.html","3","Jones, Kamren","SR","Thornwood","7.15","3","Jones, Kamren","SR","Thornwood",""
"Chili Quad","https://www.directathletics.com/results/track/47998.html","Compiled","https://www.directathletics.com/results/track/47998_m.html","14","Delgado, Steven","FR","Sandia Prep","14.35","14","Delgado, Steven","FR","Sandia Prep",""
"ERAU vs WV Wesleyan","https://www.directathletics.com/results/track/49041.html","Compiled","https://www.directathletics.com/results/track/49041_f.html","1","Cvechko, Lauren","SR-4","West Virginia Wesleyan","12.94","1","Cvechko, Lauren","SR-4","West Virginia Wesleyan",""
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_m.html","10","Delora, Casey","JR","Moriarty","","10","Delora, Casey","JR","Moriarty","100'  2"""
"Bloomington North Invite","https://www.directathletics.com/results/track/48861.html","Compiled","https://www.directathletics.com/results/track/48861_m.html","","","","","","","","","",""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_m.html","","Bautista, Jan Carlos","9","Miami Jackson HS","","","Bautista, Jan Carlos","9","Miami Jackson HS","ND"
"Boyd Jr High Meet","https://www.directathletics.com/results/track/48977.html","Compiled","https://www.directathletics.com/results/track/48977_m.html","1",",","","Boyd Middle School","","1",",","","Boyd Middle School","null"
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_f.html","18","Dean, Sarah","JR","Los Lunas","","18","Dean, Sarah","JR","Los Lunas","64'  0"""
"Argo Invite (Womens Meet)","https://www.directathletics.com/results/track/48841.html","Compiled","https://www.directathletics.com/results/track/48841_f.html","21","Gleason, Natalie","JR","Nazareth Academy","8.99","21","Gleason, Natalie","JR","Nazareth Academy",""
"De La Salle Gold Invite","https://www.directathletics.com/results/track/49135.html","Compiled","https://www.directathletics.com/results/track/49135_m.html","10","Little, Derrell","JR","Orr","7.31","10","Little, Derrell","JR","Orr",""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_m.html","","fenelus, Robenson","11","Dr. Michael Krop HS","","","fenelus, Robenson","11","Dr. Michael Krop HS","DNS"
"Mississippi College Season Opener","https://www.directathletics.com/results/track/47362.html","Compiled","https://www.directathletics.com/results/track/47362_m.html","4","Addison, Juan","SO-2","Coahoma CC","10.76","4","Addison, Juan","SO-2","Coahoma CC",""
"Mississippi College Season Opener","https://www.directathletics.com/results/track/47362.html","Compiled","https://www.directathletics.com/results/track/47362_f.html","1","Brown, Zairia","SO-2","Mississippi College","12.35","1","Brown, Zairia","SO-2","Mississippi College",""
"Tufts Final Qualifier","https://www.directathletics.com/results/track/47625.html","Compiled","https://www.directathletics.com/results/track/47625_m.html","2","Lindacher, Jake","SR-4","TCNJ","7.01","2","Lindacher, Jake","SR-4","TCNJ",""
"2017 Barbers Hill JV Track Meet","https://www.directathletics.com/results/track/48539.html","Compiled","https://www.directathletics.com/results/track/48539_m.html","4",",","","Mont Belvieu Barbers Hill","","4",",","","Mont Belvieu Barbers Hill","null"
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_f.html","6","Romero, Alex","SR","Moriarty","","6","Romero, Alex","SR","Moriarty","79'  9"""
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_m.html","23","Teba, Anthony","SR","Pojoaque","","23","Teba, Anthony","SR","Pojoaque","78'  10"""
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_f.html","19","Towne, Deann","SO","Los Lunas","","19","Towne, Deann","SO","Los Lunas","63'  4"""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_f.html","","Domond, Rachelle","12","St. Thomas Aquinas HS","","","Domond, Rachelle","12","St. Thomas Aquinas HS","ND"
"HF Indoor Meet 3/7","https://www.directathletics.com/results/track/49131.html","Compiled","https://www.directathletics.com/results/track/49131_m.html","22","Schickel, Nathan","SO","Lincoln-Way Central","","22","Schickel, Nathan","SO","Lincoln-Way Central","29'  2"""
"Dade Christian Crusder Classic Middle School Invitational","https://www.directathletics.com/results/track/47330.html","Compiled","https://www.directathletics.com/results/track/47330_m.html","","","","","","","","","",""
